checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
'no checking','existing paid','new car',6000<=X<8000,'<100','1<=X<4','male single',40<=X<60,'unskilled resident',good
'<0','all paid','new car',0<=X<2000,'<100',unemployed,'female div/dep/mar',20<=X<40,'unemp/unskilled non res',bad
'<0','existing paid','business',6000<=X<8000,'<100','>=7','male single',20<=X<40,'skilled',bad
'no checking','critical/other existing credit','radio/tv',2000<=X<4000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'>=200','existing paid','radio/tv',0<=X<2000,'500<=X<1000','1<=X<4','female div/dep/mar',40<=X<60,'unskilled resident',good
'0<=X<200','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','female div/dep/mar',elderly,'skilled',good
'0<=X<200','delayed previously','business',2000<=X<4000,'no known savings','>=7','male single',40<=X<60,'skilled',good
'no checking','delayed previously','new car',2000<=X<4000,'<100','>=7','male single',40<=X<60,'unskilled resident',bad
'0<=X<200','all paid','new car',0<=X<2000,'100<=X<500','1<=X<4','male mar/wid',20<=X<40,'skilled',bad
'0<=X<200','critical/other existing credit','furniture/equipment',8000<=X<10000,'<100','4<=X<7','male single',40<=X<60,'skilled',bad
'no checking','existing paid','business',4000<=X<6000,'<100',unemployed,'male single',20<=X<40,'high qualif/self emp/mgmt',bad
'>=200','existing paid','new car',2000<=X<4000,'100<=X<500','1<=X<4','female div/dep/mar',20<=X<40,'high qualif/self emp/mgmt',good
'<0','existing paid','used car',8000<=X<10000,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'no checking','critical/other existing credit','furniture/equipment',2000<=X<4000,'<100','4<=X<7','male single',20<=X<40,'unskilled resident',good
'<0','critical/other existing credit','furniture/equipment',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'>=200','no credits/all paid','business',6000<=X<8000,'<100','<1','male div/sep',20<=X<40,'skilled',good
'no checking','existing paid','radio/tv',0<=X<2000,'100<=X<500',unemployed,'female div/dep/mar',elderly,'skilled',good
'<0','existing paid','used car',6000<=X<8000,'<100',unemployed,'male single',20<=X<40,'high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','radio/tv',0<=X<2000,'<100','>=7','male single',40<=X<60,'unskilled resident',good
'no checking','critical/other existing credit','education',2000<=X<4000,'no known savings','<1','male single',20<=X<40,'unskilled resident',good
'no checking','all paid','radio/tv',0<=X<2000,'100<=X<500','>=7','male single',20<=X<40,'unskilled resident',good
'<0','existing paid','radio/tv',0<=X<2000,'no known savings','4<=X<7','male mar/wid',20<=X<40,'unskilled resident',good
'<0','existing paid','furniture/equipment',2000<=X<4000,'<100',unemployed,'male single',20<=X<40,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',2000<=X<4000,'no known savings','>=7','male single',40<=X<60,'skilled',good
'no checking','existing paid','furniture/equipment',0<=X<2000,'<100','4<=X<7','female div/dep/mar',20<=X<40,'unskilled resident',good
'<0','existing paid','used car',2000<=X<4000,'<100','1<=X<4','male div/sep',40<=X<60,'high qualif/self emp/mgmt',good
'no checking','existing paid','radio/tv',0<=X<2000,'<100','>=7','male single',20<=X<40,'skilled',good
'<0','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'0<=X<200','critical/other existing credit','used car',4000<=X<6000,'100<=X<500',unemployed,'male single',20<=X<40,'skilled',good
,,,0<=X<2001,,,,,,
,,radio,,,,,,,
